,ds,y
103218,2018-04-01,2480
23447,2018-04-02,2172
151738,2018-04-03,2179
99452,2018-04-04,2194
145464,2018-04-05,2213
112027,2018-04-06,2225
35841,2018-04-07,2245
128214,2018-04-08,2247
137716,2018-04-09,2254
109388,2018-04-10,2298
128843,2018-04-11,2300
152355,2018-04-12,2308
109408,2018-04-13,2344
137808,2018-04-14,2347
144286,2018-04-15,2350
128786,2018-04-16,2278
128794,2018-04-17,2294
137772,2018-04-18,2305
133423,2018-04-19,2322
112005,2018-04-20,2326
152378,2018-04-21,2342
128128,2018-04-22,2356
112723,2018-04-23,2364
99378,2018-04-24,2379
103436,2018-04-25,2394
109423,2018-04-26,2400
146062,2018-04-27,2407
112853,2018-04-28,2409
133341,2018-04-29,2417
99937,2018-04-30,2425
128603,2018-05-01,2429
128483,2018-05-02,2469
133355,2018-05-03,2484
109515,2018-05-04,2494
128839,2018-05-05,2498
128349,2018-05-06,2499
128241,2018-05-07,2515
128369,2018-05-08,2531
133442,2018-05-09,2545
133350,2018-05-10,2556
145937,2018-05-11,2557
128586,2018-05-12,2562
144519,2018-05-13,2561
153052,2018-05-14,2570
112720,2018-05-15,2616
145856,2018-05-16,2647
128400,2018-05-17,2686
145839,2018-05-18,2743
128874,2018-05-19,2763
151749,2018-05-20,2770
145854,2018-05-21,2777
133514,2018-05-22,2843
80044,2018-05-23,2867
145928,2018-05-24,2905
145699,2018-05-25,2931
145715,2018-05-26,2941
153003,2018-05-27,2945
128660,2018-05-28,2951
152348,2018-05-29,2986
79092,2018-05-30,3015
151492,2018-05-31,3032
133495,2018-06-01,3038
133577,2018-06-02,3055
126456,2018-06-03,3059
145797,2018-06-04,3069
108892,2018-06-05,3155
108964,2018-06-06,3169
30848,2018-06-07,3190
128837,2018-06-08,3199
137991,2018-06-09,3205
128079,2018-06-10,3206
36235,2018-06-11,3215
109206,2018-06-12,3243
145884,2018-06-13,3251
113086,2018-06-14,3288
22209,2018-06-15,3299
112772,2018-06-16,3308
112577,2018-06-17,3310
146133,2018-06-18,3317
153174,2018-06-19,3332
103501,2018-06-20,3342
106271,2018-06-21,3347
137396,2018-06-22,3356
112717,2018-06-23,3364
127253,2018-06-24,3370
