,ds,y
3056,2018-10-20,570
3021,2018-10-21,571
3233,2018-10-22,574
6044,2018-10-23,575
5567,2018-10-24,575
1064,2018-10-25,575
6047,2018-10-26,575
1823,2018-10-27,575
4151,2018-10-28,576
1997,2018-10-29,579
6484,2018-10-30,579
4993,2018-10-31,579
4979,2018-11-01,582
5845,2018-11-02,583
5573,2018-11-03,583
6391,2018-11-04,583
2882,2018-11-05,590
546,2018-11-06,592
4586,2018-11-07,595
1521,2018-11-08,594
3040,2018-11-09,595
6347,2018-11-10,596
5077,2018-11-11,596
6404,2018-11-12,599
5083,2018-11-13,601
2893,2018-11-14,602
3106,2018-11-15,602
5379,2018-11-18,602
1274,2018-11-19,602
6414,2018-11-20,602
1282,2018-11-21,602
6334,2018-11-22,603
4358,2018-11-25,603
6532,2018-11-26,604
3027,2018-11-27,603
2082,2018-11-28,603
5870,2018-11-29,603
5535,2018-11-30,603
2705,2018-12-02,603
2969,2018-12-03,603
6416,2018-12-04,602
2564,2018-12-05,602
6167,2018-12-06,600
5847,2018-12-07,584
5615,2018-12-08,584
5453,2018-12-09,583
1620,2018-12-10,581
5373,2018-12-11,579
1019,2018-12-12,565
6491,2018-12-13,561
1015,2018-12-14,560
1050,2018-12-16,560
5659,2018-12-17,560
3044,2018-12-19,560
5886,2018-12-20,560
5406,2018-12-22,559
6374,2018-12-23,559
5653,2018-12-24,558
1825,2018-12-25,558
1934,2018-12-26,558
1246,2018-12-27,558
1826,2018-12-28,558
1252,2018-12-29,558
6427,2018-12-30,558
1247,2018-12-31,558
5516,2019-01-02,559
1530,2019-01-03,560
1036,2019-01-04,560
5537,2019-01-05,560
568,2019-01-06,559
1627,2019-01-07,555
4591,2019-01-08,554
5725,2019-01-09,555
1294,2019-01-10,554
2978,2019-01-13,554
3185,2019-01-14,554
1293,2019-01-15,554
4993,2019-01-16,554
4988,2019-01-17,552
2925,2019-01-20,552
167,2019-01-21,552
3351,2019-01-22,551
5420,2019-01-23,549
5500,2019-01-24,532
2573,2019-01-27,528
6220,2019-01-28,529
6501,2019-01-29,528
329,2019-01-30,529
1374,2019-01-31,528
1530,2019-02-03,519
5776,2019-02-04,521
3830,2019-02-05,513
1437,2019-02-06,513
6371,2019-02-09,511
6257,2019-02-10,507
373,2019-02-11,505
2720,2019-02-12,507
1079,2019-02-13,506
5349,2019-02-14,505
676,2019-02-17,501
4667,2019-02-18,500
5013,2019-02-19,497
5004,2019-02-20,496
2584,2019-02-21,495
4596,2019-02-23,495
4594,2019-02-24,495
3976,2019-02-25,494
5945,2019-02-26,496
6016,2019-02-27,492
2084,2019-02-28,484
5931,2019-03-01,483
658,2019-03-03,480
893,2019-03-04,479
6372,2019-03-05,480
2250,2019-03-06,479
868,2019-03-07,477
1626,2019-03-09,477
4603,2019-03-10,477
5911,2019-03-11,476
5630,2019-03-12,476
2684,2019-03-13,476
5891,2019-03-14,475
4865,2019-03-17,474
5627,2019-03-18,473
5018,2019-03-19,474
870,2019-03-20,473
2262,2019-03-21,473
2276,2019-03-22,473
2270,2019-03-24,473
6367,2019-03-25,473
3409,2019-03-26,473
144,2019-03-27,472
6113,2019-03-28,463
4985,2019-03-29,458
2274,2019-03-30,458
1866,2019-03-31,458
3227,2019-04-01,458
331,2019-04-02,458
3399,2019-04-03,457
4363,2019-04-04,452
2434,2019-04-06,450
897,2019-04-07,450
3323,2019-04-08,450
3283,2019-04-09,445
3362,2019-04-10,444
4282,2019-04-11,442
1127,2019-04-14,441
5191,2019-04-15,434
2428,2019-04-16,433
4037,2019-04-17,433
3027,2019-04-21,430
6130,2019-04-22,430
4653,2019-04-23,430
3014,2019-04-24,429
2589,2019-04-25,427
4463,2019-04-28,427
1846,2019-04-29,430
6203,2019-04-30,430
4166,2019-05-01,430
2987,2019-05-02,426
3802,2019-05-03,426
3803,2019-05-04,426
4167,2019-05-05,426
4658,2019-05-06,427
1477,2019-05-07,427
2936,2019-05-08,427
2692,2019-05-09,427
1863,2019-05-10,427
3175,2019-05-12,427
6143,2019-05-13,427
2898,2019-05-14,427
2086,2019-05-15,427
3187,2019-05-16,418
3797,2019-05-19,418
2277,2019-05-20,418
3220,2019-05-21,419
4151,2019-05-22,419
3215,2019-05-23,419
379,2019-05-26,419
6561,2019-05-27,419
3798,2019-05-28,417
6562,2019-05-29,417
1882,2019-05-30,418
4283,2019-05-31,419
6084,2019-06-01,419
5327,2019-06-02,419
6201,2019-06-03,397
4368,2019-06-04,398
2902,2019-06-05,399
6114,2019-06-06,399
681,2019-06-09,399
1492,2019-06-10,399
6551,2019-06-11,398
3064,2019-06-12,402
882,2019-06-13,399
4390,2019-06-17,399
2760,2019-06-18,398
2904,2019-06-19,398
3313,2019-06-20,397
3411,2019-06-22,397
529,2019-06-23,397
110,2019-06-24,397
6128,2019-06-25,397
2006,2019-06-26,397
1311,2019-06-27,396
1885,2019-06-29,396
6150,2019-06-30,396
132,2019-07-01,396
5549,2019-07-02,396
4227,2019-07-04,396
6531,2019-07-07,396
6542,2019-07-08,396
3029,2019-07-09,396
4587,2019-07-10,394
519,2019-07-11,393
108,2019-07-14,393
6343,2019-07-15,393
2007,2019-07-16,393
6558,2019-07-17,393
1299,2019-07-18,393
2271,2019-07-21,392
1278,2019-07-23,391
1277,2019-07-24,391
4136,2019-07-25,391
3854,2019-07-28,391
2665,2019-07-29,391
2672,2019-07-30,385
3412,2019-07-31,378
6524,2019-08-01,378
6040,2019-08-02,378
3235,2019-08-04,378
6366,2019-08-05,377
896,2019-08-06,376
1504,2019-08-07,376
6413,2019-08-08,376
368,2019-08-09,376
3862,2019-08-11,376
5013,2019-08-12,376
538,2019-08-13,376
599,2019-08-14,372
581,2019-08-15,366
1386,2019-08-18,365
5723,2019-08-19,365
3620,2019-08-20,358
380,2019-08-21,356
2655,2019-08-22,355
683,2019-08-25,354
2325,2019-08-26,354
385,2019-08-27,352
4578,2019-08-29,351
4606,2019-09-01,351
5737,2019-09-02,350
3033,2019-09-03,350
1551,2019-09-04,350
2542,2019-09-05,350
894,2019-09-08,350
6564,2019-09-09,350
386,2019-09-10,350
4162,2019-09-11,350
2597,2019-09-14,350
2471,2019-09-15,350
4160,2019-09-16,350
3135,2019-09-17,349
3243,2019-09-25,349
1397,2019-09-26,348
3922,2019-09-27,348
3242,2019-09-29,348
3534,2019-09-30,348
3250,2019-10-01,348
5890,2019-10-02,348
1093,2019-10-03,347
4499,2019-10-04,345
4678,2019-10-06,345
5629,2019-10-07,344
4554,2019-10-08,344
3926,2019-10-09,345
277,2019-10-10,345
4279,2019-10-13,345
4679,2019-10-15,346
6553,2019-10-19,346
2249,2019-10-20,346
1939,2019-10-21,346
2449,2019-10-22,346
2436,2019-10-23,348
1946,2019-10-24,348
456,2019-10-27,348
3666,2019-10-28,348
3663,2019-10-29,347
4389,2019-10-30,340
2440,2019-10-31,340
4368,2019-11-03,341
2093,2019-11-04,341
2358,2019-11-05,340
3855,2019-11-06,333
4492,2019-11-07,313
4501,2019-11-09,313
2010,2019-11-10,313
2008,2019-11-11,313
2089,2019-11-12,313
4001,2019-11-13,314
4003,2019-11-14,314
3815,2019-11-15,315
3833,2019-11-16,315
689,2019-11-17,315
489,2019-11-18,311
4006,2019-11-19,312
2699,2019-11-20,311
5154,2019-11-21,311
4670,2019-11-22,311
4764,2019-11-24,313
2468,2019-11-25,313
3868,2019-11-26,313
4009,2019-11-27,315
700,2019-11-28,315
701,2019-12-01,315
4006,2019-12-02,314
4080,2019-12-03,314
51,2019-12-04,314
1927,2019-12-05,314
5893,2019-12-08,314
54,2019-12-09,314
3839,2019-12-12,314
1718,2019-12-15,314
1533,2019-12-22,314
1517,2019-12-30,314
1629,2019-12-31,314
183,2020-01-02,314
2279,2020-01-05,314
3226,2020-01-06,313
1322,2020-01-07,313
55,2020-01-08,313
459,2020-01-09,313
2282,2020-01-12,313
279,2020-01-13,313
4881,2020-01-14,313
2542,2020-01-15,313
284,2020-01-16,313
285,2020-01-19,313
281,2020-01-20,313
208,2020-01-21,314
4373,2020-01-22,314
1,2020-01-23,314
881,2020-01-26,313
5633,2020-01-27,313
3033,2020-01-28,313
280,2020-01-29,313
381,2020-01-30,312
3675,2020-01-31,311
386,2020-02-01,311
5895,2020-02-02,311
4254,2020-02-03,310
3238,2020-02-04,310
3665,2020-02-05,310
2283,2020-02-06,310
2765,2020-02-09,310
6013,2020-02-10,308
1948,2020-02-12,307
