,ds,y
99937,2018-04-30,767
128603,2018-05-01,787
128483,2018-05-02,766
133355,2018-05-03,767
109515,2018-05-04,777
128839,2018-05-05,791
128349,2018-05-06,793
128241,2018-05-07,793
128369,2018-05-08,795
133442,2018-05-09,800
133350,2018-05-10,800
145937,2018-05-11,801
128586,2018-05-12,801
144519,2018-05-13,801
153052,2018-05-14,801
112720,2018-05-15,806
145856,2018-05-16,808
128400,2018-05-17,819
145839,2018-05-18,819
128874,2018-05-19,823
151749,2018-05-20,831
145854,2018-05-21,832
133514,2018-05-22,838
80044,2018-05-23,841
145928,2018-05-24,845
145699,2018-05-25,852
145715,2018-05-26,856
153003,2018-05-27,856
128660,2018-05-28,856
152348,2018-05-29,858
79092,2018-05-30,852
151492,2018-05-31,853
133495,2018-06-01,851
133577,2018-06-02,852
126456,2018-06-03,853
145797,2018-06-04,853
108892,2018-06-05,855
108964,2018-06-06,857
30848,2018-06-07,859
128837,2018-06-08,859
137991,2018-06-09,862
128079,2018-06-10,862
36235,2018-06-11,862
109206,2018-06-12,872
145884,2018-06-13,874
113086,2018-06-14,874
22209,2018-06-15,874
112772,2018-06-16,874
112577,2018-06-17,874
146133,2018-06-18,874
153174,2018-06-19,874
103501,2018-06-20,875
106271,2018-06-21,871
137396,2018-06-22,871
112717,2018-06-23,874
127253,2018-06-24,875
35955,2018-06-25,872
109386,2018-06-26,872
101385,2018-06-27,867
30898,2018-06-28,860
146733,2018-06-29,860
156487,2018-06-30,861
145079,2018-07-01,861
138116,2018-07-02,862
128876,2018-07-03,862
103596,2018-07-04,864
99864,2018-07-05,866
128601,2018-07-06,855
22259,2018-07-07,856
102985,2018-07-08,856
129732,2018-07-09,853
80049,2018-07-10,857
127169,2018-07-11,850
152452,2018-07-12,850
100675,2018-07-13,853
153066,2018-07-14,859
163875,2018-07-15,860
108716,2018-07-16,860
80058,2018-07-17,840
102234,2018-07-18,843
152932,2018-07-19,846
146072,2018-07-20,846
153185,2018-07-21,847
126684,2018-07-22,847
109507,2018-07-23,847
152405,2018-07-24,847
152486,2018-07-25,849
153184,2018-07-26,850
