,ds,y
2030,2020-02-13,517
2018,2020-02-14,515
1330,2020-02-15,515
588,2020-02-16,515
703,2020-02-17,515
776,2020-02-18,516
536,2020-02-19,516
557,2020-02-20,517
4680,2020-02-23,515
1328,2020-02-24,515
6552,2020-02-25,515
1637,2020-02-26,515
6540,2020-02-27,516
6431,2020-02-29,509
1745,2020-03-01,509
1753,2020-03-02,516
1735,2020-03-03,527
915,2020-03-04,545
4262,2020-03-05,561
2178,2020-03-08,563
5204,2020-03-09,576
689,2020-03-10,577
4552,2020-03-11,578
3472,2020-03-12,581
6012,2020-03-14,583
809,2020-03-15,584
62,2020-03-16,583
2450,2020-03-17,584
3713,2020-03-18,585
4350,2020-03-19,584
1334,2020-03-20,584
4605,2020-03-22,584
4270,2020-03-23,583
2253,2020-03-24,582
2556,2020-03-26,579
705,2020-03-29,578
2017,2020-03-30,577
1834,2020-03-31,576
4663,2020-04-01,571
5889,2020-04-02,566
1731,2020-04-07,565
1627,2020-04-08,561
1324,2020-04-11,560
2032,2020-04-15,560
66,2020-04-16,561
2640,2020-04-19,561
4258,2020-04-22,559
2434,2020-04-29,559
2638,2020-04-30,558
4870,2020-05-03,558
4588,2020-05-04,558
4832,2020-05-06,558
4878,2020-05-10,558
3243,2020-05-11,557
6543,2020-05-13,557
357,2020-05-14,555
481,2020-05-19,554
690,2020-05-24,552
87,2020-05-27,551
6212,2020-05-31,547
4257,2020-06-01,547
3840,2020-06-02,546
3474,2020-06-04,546
638,2020-06-09,546
3718,2020-06-11,544
5091,2020-06-25,544
4366,2020-06-28,544
3497,2020-06-30,544
2886,2020-07-05,543
3610,2020-07-06,543
4668,2020-07-07,541
4837,2020-07-14,540
1713,2020-07-16,540
701,2020-07-22,540
2418,2020-07-28,539
362,2020-07-29,539
665,2020-08-02,538
3122,2020-08-03,536
183,2020-08-05,536
3225,2020-08-06,535
3136,2020-08-09,534
1525,2020-08-11,534
4418,2020-08-17,534
2183,2020-08-24,535
3466,2020-08-26,539
3972,2020-08-27,539
1899,2020-08-31,538
685,2020-09-07,537
3711,2020-09-10,536
3808,2020-09-13,537
3819,2020-09-20,536
6029,2020-09-24,535
4007,2020-09-28,535
2636,2020-09-29,534
890,2020-09-30,532
2540,2020-10-04,531
707,2020-10-05,531
2546,2020-10-06,531
813,2020-10-07,531
1854,2020-10-08,530
3112,2020-10-12,524
3637,2020-10-13,525
1939,2020-10-14,524
3253,2020-10-19,524
885,2020-10-20,524
1949,2020-10-22,524
391,2020-10-25,519
306,2020-10-26,520
3138,2020-10-27,521
1504,2020-10-28,524
1896,2020-10-29,523
3516,2020-11-01,523
3257,2020-11-02,523
3416,2020-11-03,523
3554,2020-11-05,524
3558,2020-11-08,525
3628,2020-11-09,527
3633,2020-11-10,529
704,2020-11-11,530
814,2020-11-15,531
2572,2020-11-16,533
6039,2020-11-17,534
3132,2020-11-18,533
3244,2020-11-19,532
777,2020-11-22,532
3207,2020-11-23,531
3809,2020-11-24,532
3559,2020-11-25,532
4685,2020-11-26,531
1285,2020-11-29,530
3599,2020-11-30,527
3607,2020-12-01,527
1171,2020-12-02,527
3106,2020-12-08,527
4995,2020-12-09,526
1717,2020-12-13,526
3662,2020-12-14,525
6032,2020-12-17,522
771,2020-12-31,522
2854,2021-01-03,520
4009,2021-01-04,516
1375,2021-01-05,516
1746,2021-01-06,515
4977,2021-01-07,514
6235,2021-01-10,514
2879,2021-01-11,513
861,2021-01-12,511
3127,2021-01-13,506
523,2021-01-14,504
1616,2021-01-17,500
2866,2021-01-18,499
4984,2021-01-19,497
3111,2021-01-20,498
4979,2021-01-21,496
4388,2021-01-24,495
652,2021-01-25,493
4607,2021-01-26,487
6041,2021-01-27,487
1541,2021-01-28,487
5076,2021-01-31,484
2477,2021-02-01,483
5002,2021-02-02,485
557,2021-02-03,484
1941,2021-02-04,478
3807,2021-02-07,479
1894,2021-02-08,484
4819,2021-02-09,483
3623,2021-02-10,484
4470,2021-02-11,485
2276,2021-02-14,482
3768,2021-02-15,475
4274,2021-02-16,474
3802,2021-02-17,474
1460,2021-02-21,472
3222,2021-02-23,472
5852,2021-02-24,471
3511,2021-02-28,470
2367,2021-03-01,464
5014,2021-03-02,456
395,2021-03-03,451
4010,2021-03-04,454
4039,2021-03-05,452
392,2021-03-07,452
718,2021-03-08,452
466,2021-03-09,452
5009,2021-03-11,449
4005,2021-03-14,449
3673,2021-03-15,449
3436,2021-03-16,449
710,2021-03-17,449
725,2021-03-18,451
2185,2021-03-21,451
1180,2021-03-22,451
4157,2021-03-23,451
2170,2021-03-24,450
717,2021-03-25,450
1644,2021-03-26,452
2775,2021-03-27,453
4380,2021-03-28,453
1248,2021-03-29,455
4174,2021-03-30,457
1887,2021-03-31,456
1893,2021-04-01,451
4838,2021-04-03,451
3606,2021-04-04,451
4377,2021-04-05,450
1300,2021-04-06,449
4175,2021-04-07,449
1948,2021-04-08,450
3877,2021-04-11,449
4234,2021-04-12,450
1407,2021-04-13,450
764,2021-04-14,450
1647,2021-04-15,450
920,2021-04-17,450
4339,2021-04-18,449
3724,2021-04-19,450
3723,2021-04-20,450
1339,2021-04-21,451
4378,2021-04-22,450
3853,2021-04-23,450
1649,2021-04-25,450
5884,2021-04-26,449
4504,2021-04-27,449
1095,2021-04-28,450
6394,2021-04-29,448
6406,2021-04-30,424
1181,2021-05-01,424
4845,2021-05-02,424
3569,2021-05-03,424
3602,2021-05-04,424
2571,2021-05-05,423
3415,2021-05-06,422
3725,2021-05-07,422
1109,2021-05-09,422
401,2021-05-10,418
2437,2021-05-11,415
4237,2021-05-12,416
2416,2021-05-13,415
5194,2021-05-15,414
