,ds,y
105146,2017-12-22,1483
8163,2017-12-26,1484
108631,2017-12-27,1484
137511,2017-12-29,1484
127286,2017-12-30,1483
137436,2017-12-31,1480
137334,2018-01-01,1481
100033,2018-01-02,1496
106108,2018-01-03,1497
22264,2018-01-04,1500
144238,2018-01-05,1501
148184,2018-01-06,1504
145631,2018-01-07,1509
137851,2018-01-08,1539
22059,2018-01-09,1690
106329,2018-01-10,1722
100013,2018-01-11,1742
30873,2018-01-12,1758
137627,2018-01-13,1760
138065,2018-01-14,1764
36187,2018-01-15,1778
125399,2018-01-16,1849
113396,2018-01-17,1959
109215,2018-01-18,2221
106393,2018-01-19,2240
113393,2018-01-20,2248
137505,2018-01-21,2255
30843,2018-01-22,2271
109176,2018-01-23,2316
109222,2018-01-24,2340
109177,2018-01-25,2345
126231,2018-01-26,2347
78543,2018-01-27,2348
126000,2018-01-28,2349
84652,2018-01-29,2356
129597,2018-01-30,2385
22107,2018-01-31,2394
137572,2018-02-01,2421
156523,2018-02-02,2444
138024,2018-02-03,2448
83985,2018-02-04,2456
127589,2018-02-05,2487
85094,2018-02-06,2568
137646,2018-02-07,2608
156440,2018-02-08,2626
109433,2018-02-09,2638
129928,2018-02-10,2641
138000,2018-02-11,2644
146066,2018-02-12,2660
145502,2018-02-13,2691
109497,2018-02-14,2706
109286,2018-02-15,2716
10703,2018-02-16,2721
151953,2018-02-17,2723
128231,2018-02-18,2723
156491,2018-02-19,2739
22178,2018-02-20,2755
104042,2018-02-21,2766
127842,2018-02-22,2773
145228,2018-02-23,2784
83952,2018-02-24,2792
145234,2018-02-25,2792
163852,2018-02-26,2794
145481,2018-02-27,2805
112864,2018-02-28,2820
138009,2018-03-01,2838
120109,2018-03-02,2845
109478,2018-03-03,2845
138014,2018-03-04,2846
83460,2018-03-05,2853
127436,2018-03-06,2886
36041,2018-03-07,2893
145572,2018-03-08,2897
126721,2018-03-09,2900
112440,2018-03-10,2902
98548,2018-03-11,2902
106272,2018-03-12,2884
85290,2018-03-13,2856
128727,2018-03-14,2840
125331,2018-03-15,2772
137493,2018-03-16,2760
104943,2018-03-17,2764
144699,2018-03-18,2764
133371,2018-03-19,2758
152091,2018-03-20,2781
109377,2018-03-21,2784
156473,2018-03-22,2798
22155,2018-03-23,2807
35808,2018-03-24,2808
145491,2018-03-25,2807
100789,2018-03-26,2817
22244,2018-03-27,2822
151529,2018-03-28,2823
66961,2018-03-29,2827
22411,2018-03-30,2827
96211,2018-03-31,2828
103218,2018-04-01,2830
23447,2018-04-02,2007
151738,2018-04-03,2015
99452,2018-04-04,2036
145464,2018-04-05,2030
112027,2018-04-06,2033
35841,2018-04-07,2035
128214,2018-04-08,2038
137716,2018-04-09,2065
109388,2018-04-10,2088
128843,2018-04-11,2111
152355,2018-04-12,2125
109408,2018-04-13,2130
137808,2018-04-14,2134
144286,2018-04-15,2132
128786,2018-04-16,2127
128794,2018-04-17,2140
137772,2018-04-18,2160
133423,2018-04-19,2164
112005,2018-04-20,2172
152378,2018-04-21,2174
128128,2018-04-22,2178
112723,2018-04-23,2197
