Year,Quarter,Month,Day,Daymother - FBProphet,Daymother - SS Targets,Sum of Daymother
,,,,,4941723,77975790.3395054
2028,Qtr 3,September,10,135623.1050736573,211231,136978.6606949301
2028,Qtr 3,September,11,135666.6703180866,211262,137022.7236610999
2028,Qtr 3,September,12,135742.6019488908,211448,137098.4211923166
2028,Qtr 3,September,13,135798.5937511986,211630,137154.5609041778
2028,Qtr 3,September,14,135851.9015778235,211637,137208.0878388782
2028,Qtr 3,September,15,135906.6114517509,211696,137262.4322120862
2028,Qtr 3,September,16,135954.7758547398,,
2028,Qtr 3,September,17,135993.5233605864,211819,137349.0092948985
2028,Qtr 3,September,18,136034.3846324455,211909,137390.3113079755
2028,Qtr 3,September,19,136107.4631678311,211974,137463.1318060721
2028,Qtr 3,September,20,136160.5417548791,212041,137516.3705889013
2028,Qtr 3,September,21,136210.9637411897,212066,137567.0626076363
2028,Qtr 3,September,22,136262.8986717971,212240,137618.7231708956
2028,Qtr 3,September,23,136308.4762648631,212376,137664.5453248238
2028,Qtr 3,September,24,136344.8939489955,212414,137700.6882733661
2028,Qtr 3,September,25,136383.7410401033,212444,137740.1881646843
2028,Qtr 3,September,26,136455.1679914279,212474,137811.6064347523
2028,Qtr 3,September,27,136506.9917204562,212495,137863.8740006371
2028,Qtr 3,September,28,136556.5761431604,212641,137914.0425450047
2028,Qtr 3,September,29,136608.0974894571,212743,137965.6294829595
2028,Qtr 3,September,30,136653.6783736064,212806,138011.8155396871
2028,Qtr 4,October,1,136690.495836288,212828,138048.7337952615
2028,Qtr 4,October,2,136730.1064170748,212926,138089.3815003519
2028,Qtr 4,October,3,136802.6166603636,212960,138162.2698198846
2028,Qtr 4,October,4,136855.7900174542,213067,138216.2697524618
2028,Qtr 4,October,5,136906.9292250194,213082,138268.3654129946
2028,Qtr 4,October,6,136960.1436759974,213129,138322.0012078319
2028,Qtr 4,October,7,137007.485692839,213228,138370.2817631183
2028,Qtr 4,October,8,137046.0608520317,213229,138409.2633911015
2028,Qtr 4,October,9,137087.3553487984,213297,138451.8683247027
2028,Qtr 4,October,10,137161.408735264,213303,138526.5368043621
2028,Qtr 4,October,11,137215.922927127,213337,138582.0751944361
2028,Qtr 4,October,12,137268.1464955353,213388,138635.4112506765
2028,Qtr 4,October,13,137322.1437026199,213609,138689.94300866
2028,Qtr 4,October,14,137369.9321406983,213705,138738.7401027421
2028,Qtr 4,October,15,137408.5940832674,213744,138777.8362588423
2028,Qtr 4,October,16,137449.6045061763,213900,138820.1441609085
2028,Qtr 4,October,17,137523.0040929565,214198,138894.1077564304
2028,Qtr 4,October,18,137576.5081117675,214360,138948.5501720111
2028,Qtr 4,October,19,137627.3901850278,214385,139000.4283667892
2028,Qtr 4,October,20,137679.7504263702,214391,139053.1810121997
2028,Qtr 4,October,21,137725.6518324414,214439,139099.9284380584
2028,Qtr 4,October,22,137762.2300756809,214449,139136.763429596
2028,Qtr 4,October,23,137801.0197038782,214500,139176.6641262984
2028,Qtr 4,October,24,137872.1251158801,214510,139248.1441471331
2028,Qtr 4,October,25,137923.3272626652,214526,139300.0981788537
2028,Qtr 4,October,26,137971.9651611668,214534,139349.5542254037
2028,Qtr 4,October,27,138022.2017643911,214547,139400.0190796455
2028,Qtr 4,October,28,138066.1581448494,214685,139444.6759305121
